305,"20090903",8,106,1920,"BarS",,"BI4",,,,"g06",,,"QU 1/2","FB",,1,"QU 1/2",C,200908281354,
314,"20090827",7,108,1523,"SchJ",,"rl3",,,,"g21",,,"QU 3/4","FB",,1,"QU 3/4",C,200908240857,
315,"20090827",8,108,1523,"SchJ",,"rl3",,,,"g21",,,"QU 3/4","FB",,1,"QU 3/4",C,200908240858,
317,"20090828",1,108,1116,"SchJ",,"RELev",,,,"151",,,"09E","FB",,1,"09E",C,200908240903,
318,"20090828",2,108,1116,"SchJ","AusC","RELev",,"V",,"151","151",,"09E","FB",,0,"09E",,200908260737,"+"
319,"20090828",3,108,1261,"SchJ","SchS","RELev2",,,,"n114","n114",,"06C~06A","FB",,0,"06C~06A",,200908251621,"+"
320,"20090828",4,108,1261,"SchJ","RödM","RELev2",,"V",,"n114","n114",,"06C~06A","FB",,0,"06C~06A",,200908251622,"+"
333,"20090817",7,109,1964,"StuC",,"ma5",,,,"g20",,,"QU 1/2","KFL",,1,"QU 1/2",C,200908070755,
334,"20090817",8,109,1964,"StuC",,"ma5",,,,"g20",,,"QU 1/2","KFL",,1,"QU 1/2",C,200908070755,
335,"20090817",7,,0,"StuC","HauS",,,,,,,,,,,131072,,B,200908121251,
336,"20090818",1,109,135,"StuC",,"PH",,,,"g04",,,"10E","KFL",,1,"10E",C,200908121654,
337,"20090818",2,109,135,"StuC","BenH","PH",,"D",,"g04","152",,"10E","KFL","Aufg. AUS",0,"10E",,200908140907,"+"
338,"20090818",5,109,1533,"StuC",,"M",,,,"n05","n05",,"06E","KFL",,16,,L,200908032325,
339,"20090818",6,109,1533,"StuC",,"M",,,,"n05","n05",,"06E","KFL",,16,,L,200908032325,
340,"20090818",7,109,666,"StuC",,"SL",,,,"013",,,"VW","KFL",,1,"VW",C,200908100741,
341,"20090818",8,109,666,"StuC",,"SL",,,,"013",,,"VW","KFL",,1,"VW",C,200908100740,
342,"20090819",1,109,1533,"StuC",,"M",,,,"n05","n05",,"06E","KFL",,16,,L,200908032325,
343,"20090819",2,109,1533,"StuC",,"M",,,,"n05","n05",,"06E","KFL",,16,,L,200908032325,
344,"20090819",3,109,1540,"StuC",,"VFG",,,,"n05","n05",,"06E","KFL",,16,,L,200908032325,
345,"20090819",5,109,2092,"StuC",,"ma5",,,,"g20",,,"QU 1/2","KFL",,1,"QU 1/2",C,200908100743,
346,"20090819",6,109,2092,"StuC",,"ma5",,,,"g20",,,"QU 1/2","KFL",,1,"QU 1/2",C,200908100743,
347,"20090819",7,109,297,"StuC",,"PH",,,,"g06",,,"10B","KFL",,1,"10B",C,200908100748,
348,"20090819",8,109,297,"StuC",,"PH",,,,"g06",,,"10B","KFL",,1,"10B",C,200908100748,
350,"20090820",5,109,1534,"StuC",,"PH",,,,"nPhy","nPhy",,"06E","KFL",,16,,L,200908032325,
351,"20090820",6,109,1534,"StuC",,"PH",,,,"nPhy","nPhy",,"06E","KFL",,16,,L,200908032325,
